Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ezinne Kalu,ATL,,1,13,1,0,13,1,3,0.333,0,1,0,1,2,0.5,1,1,1,0,1,0,1,0,0,4,3
Betnijah Laney,NYL,G-F,28,848,28,25,848,120,263,0.456,41,102,0.402,79,161,0.491,48,53,0.906,30,118,93,32,1,66,60,329
Lou Lopez Sénéchal,DAL,G,27,125,27,0,125,10,34,0.294,3,15,0.2,7,19,0.368,2,4,0.5,3,11,10,3,0,6,13,25
Jewell Loyd,SEA,G,37,1246,37,37,1246,224,622,0.36,59,215,0.274,165,407,0.405,222,252,0.881,26,166,135,52,8,84,67,729
Natasha Mack,PHO,F,40,619,40,11,619,71,124,0.573,0,3,0,71,121,0.587,11,19,0.579,60,199,44,27,47,28,56,153
Ezi Magbegor,SEA,F-C,37,1136,37,37,1136,172,336,0.512,13,53,0.245,159,283,0.562,76,87,0.874,83,295,74,40,82,53,117,433
Kate Martin,LVA,G,34,392,34,2,392,27,88,0.307,22,62,0.355,5,26,0.192,11,12,0.917,6,54,30,7,8,21,29,87
Kayla McBride,MIN,G,39,1237,39,39,1237,174,414,0.42,105,258,0.407,69,156,0.442,133,149,0.893,14,100,126,49,2,79,48,586
Teaira McCowan,DAL,C,39,987,39,38,987,184,323,0.57,1,4,0.25,183,319,0.574,89,124,0.718,112,314,61,35,34,78,117,458
Aari McDonald,LAS,G,26,568,26,10,568,77,191,0.403,29,91,0.319,48,100,0.48,43,51,0.843,12,52,96,23,6,48,52,226
Jade Melbourne,WAS,G,37,523,37,0,523,72,166,0.434,20,56,0.357,52,110,0.473,35,49,0.714,13,55,58,24,5,62,54,199
Diamond Miller,MIN,F,21,213,21,4,213,21,69,0.304,5,26,0.192,16,43,0.372,14,24,0.583,9,37,13,7,1,19,23,61
Kelsey Mitchell,IND,G,40,1280,40,38,1280,282,602,0.468,109,271,0.402,173,331,0.523,94,113,0.832,27,99,71,27,7,64,63,767
Tiffany Mitchell,CON,G,24,391,24,0,391,38,109,0.349,6,24,0.25,32,85,0.376,36,46,0.783,11,37,19,11,1,15,29,118
Nika Mühl,SEA,G,16,57,16,0,57,1,14,0.071,0,11,0,1,3,0.333,0,0,,6,10,7,2,0,4,9,2
Astou Ndour-Fall,CON,C-F,22,92,22,0,92,9,26,0.346,2,10,0.2,7,16,0.438,5,6,0.833,2,18,1,1,4,3,10,25
